Araç Markası,Araç Yorumları
alfa-romeo-yorumlari,"
147 sahibi iken On yıl boyunca Giulietta 'lara bakıp durdum. En sonunda almak nasip oldu çok mutlu şekilde biniyordum ama iki ay sonra triger kopunca yaptırmak için parasız kaldım ve satmak zorunda kaldım. Ardından 2008 model 1.4 tfsi audi a3 aldım. Kıyaslama yaparsam audi 'nin sürüş keyfinin çok daha önde olduğunu fark ettim. Yol tutuş, süspansiyon, gaz tepkimeleri vs. Herşeyi ile önde. Giulietta 'nın önde olduğu iki şey var,o da tasarımı ve motor gücü.
"
alfa-romeo-yorumlari,"
Yıllardır ayni kasa eskiside yeniside verilen para cöp
"
alfa-romeo-yorumlari,"
2013 model 1.6 dizel kullanıyorum şehir içi ve şehirler arası güven veriyor içi gayet geniş konforlu dış tasarımını bence almanlar bile kıskanıyor
"
alfa-romeo-yorumlari,"
Araç fotoğraflarında göründüğünden çok daha kaslı, güzel, kendine has çizgileri olan bir Sport SUV.
"
alfa-romeo-yorumlari,"
Çok modern bir yapıya sahip. Tasarımı olsun iç kabinin elitliği olsun kaliteyi birebir hissettiriyor.
"
alfa-romeo-yorumlari,"
1.4 170 bg distinctive donanımlısını test ettim kullandığım araç suv crossover sınıfı bu aracı kullandıktan sonra sürüş zevki ne demek anladım.
"
alfa-romeo-yorumlari,"
Benim polo Gti bununla hemen hemen ayni güce sahip.48 bin TL ye aldım sıfır.
"
alfa-romeo-yorumlari,"
Süper araç tasarım harikası ve sol şeritlerin efendisi
"
alfa-romeo-yorumlari,"
Görüntüsünden de belli olduğu üzere harika bir araç. sürüş keyfini asla tarif edemem sanırım. İç malzeme kalitesi çok iyi yada çok kötü değil orta düzeyde ama konfor ve performansı bu açığı kapatıyor.
"
alfa-romeo-yorumlari,"
parasını hak eden bir araç
"
alfa-romeo-yorumlari,"
Eğer bu araç kafanızda var ise hiç düşünmeyin alın asla pişman olmazsınız
"
alfa-romeo-yorumlari,"
Aracımda aradığım her şey var görüntüsü performansı yol tutuşu,yakıtı da performansına bakarak çok iyi.
"
alfa-romeo-yorumlari,"
Güzel araç fakat malzemesi çok kalitesiz
"
alfa-romeo-yorumlari,"
Otomatik vites geçişleri berbat,motorun sesi içeriye çok geliyor
"
alfa-romeo-yorumlari,"
Yolculuğu çok rahat çok memnunum aracımdan
"
alfa-romeo-yorumlari,"
koltuk rahatlıgı çok hoşuma gidiyor ön konsoluda çok şık bir tasarıma sahip
"
alfa-romeo-yorumlari,"
Sürüşü çok keyifli ve gercekten çok dikkat çekiyor.
"
alfa-romeo-yorumlari,"
Görünüşü de çok hoşuma gidiyor aracın. performansı da gayet başarılı
"
alfa-romeo-yorumlari,"
direksiyon kısmını çok seviyorum çok hafif geliyor bana
"
alfa-romeo-yorumlari,"
Arabada aradığım herşey var görüntüsü performansı yol tutuşu yakıtıda performansına göre çok iyi bence
"
alfa-romeo-yorumlari,"
Yolculuğu çok rahat, iç malzeme kalitesi çok iyi olmasa da idare eder
"
alfa-romeo-yorumlari,"
Tam bir performans aracı yol tutuş harika
"
alfa-romeo-yorumlari,"
Malzeme kalitesi çok düşük dolayısıyla bu fiyat çok bence
"
alfa-romeo-yorumlari,"
Performansı gerçekten harika. Dış ve iç tasarımını çok beğeniyorum
"
alfa-romeo-yorumlari,"
Direksiyonu inanılmaz sert ve sadece şehir içinde ekonomik vites geçişleri berbat dış tasarıma verdikleri önemi birazcık da içinde kullansalardı keske
"
alfa-romeo-yorumlari,"
aracın dış görünüşüne hayranım. konforu sürüş keyfi ayrı güzel
"
alfa-romeo-yorumlari,"
araçta hata bulamıyorum mükemmel bir araç yapmışlar.
"
alfa-romeo-yorumlari,"
araç harikalar içinde yapılmış bin bir harika aracın içinde. çok konforlu çok iyi bir araç cidden.
"
alfa-romeo-yorumlari,"
bazen sinirlenince pencereye cıkıp aracımı seyrediyorum sakinleştirici etkisi var.
"
alfa-romeo-yorumlari,"
araçta sürekli slow müzik dinleyesim geliyor öyle bir havası var ki adamı arabeskten çıkartır mükemmel rahatlatıcı bir araç.
"
alfa-romeo-yorumlari,"
aracı çok seviyorum taksitle aldım ve çok memnunum. bir kaç ay oldu alalı aracı sürekli uzaktan izliyorum hayran kaldım. mükemmel ötesi harika cidden.
"
alfa-romeo-yorumlari,"
aracın duruşu yetiyor.
"
alfa-romeo-yorumlari,"
en çok tercih edilen zengin aracı olarak geçiyor fakat ben taksite girip aldım. iyiki almışım. mükemmel bir araç.
"
alfa-romeo-yorumlari,"
sıfır araç almaya karar versem alacağım tek araç bu olur herhalde. üstünü görmedim mükemmel bir araç.
"
alfa-romeo-yorumlari,"
en sevdiğim araçlardan biri kusursuz tek araç 1 numara resmen.
"
alfa-romeo-yorumlari,"
ilk defa düzgün bir tercih yaptım ve çok mutluyum. mükemmel bir araç.
"
alfa-romeo-yorumlari,"
araçta kusur bulamıyorum.
"
alfa-romeo-yorumlari,"
aracı almadan test sürüşü yaptım aracı almak için bana çok yardımcı oldu. iyiki yapmışım ve bu aracı tercih etmişim. harika bir araç.
"
alfa-romeo-yorumlari,"
 aldığım günden beri araçta şikayet edecek bir yer arıyorum fakat bulamadım. cidden harika bir araç yapmışlar kusursuz.
"
alfa-romeo-yorumlari,"
harika ötesi mükemmel dehşet bir araç iyiki almışım.
"
alfa-romeo-yorumlari,"
kullandığım araçlar arasında en iyisi alfa remeo 2019 model harika bir araç cidden. benimde çok şüphelerim korkularım vardı fakat test sürüşünden sonra hemen almaya karar verdim araç cidden harika o günden beri aracıma aşığım.
"
alfa-romeo-yorumlari,"
aracım her zamnki gibi mükemmel.
"
alfa-romeo-yorumlari,"
sedan araç olarak seviyesini nirvanaya çıkarmış bir araç
"
alfa-romeo-yorumlari,"
suv araç alacaklarının listesinde ilk sırada gelir bu araç
"
alfa-romeo-yorumlari,"
araç kendine özgü renk yapmış tek renk sınırından kurtulmuş tebrik ederimm
"
alfa-romeo-yorumlari,"
arabanın genişliği çok iyi
"
alfa-romeo-yorumlari,"
ARAÇ kalitesini konuşturuyor resmen
"
alfa-romeo-yorumlari,"
arkadaşımın eşinde bu araçtan vardı 2017 model. araç mükemmeldi hayran kalmıştım. aralık ayında 2019 model için araştırma yaptım ve aracımı alalı 1 ay oluyor cidden mükemmel bir araç yakıt tüketiminden korkuyordum fakat şuan tereddüt etmeden rahatlıkla gezebiliyorum. tek kelime ile harika bir araç.
"
alfa-romeo-yorumlari,"
önceden hayalini kuruyordum şimdi ise binşyorum. mükemmel bir araç çok gezzen birisiyim yakıt tüketimi çok iyi aracım harika. alfa romeo artık vazgeçilmezim.
"
alfa-romeo-yorumlari,"
duruşu ve görünüşü gibi harika bir araç yakıt tüketim mükemmel yol tutuşu süper tek kelime ile harika bir araç.
"
alfa-romeo-yorumlari,"
başta aldığımda zorlanmıştım küçük araç kullanmıştım sürekli biraz büyük geldi araç fakat alıştım şuan mükemmel kullanıyorum. yol tutuşu , konforu ve yakıt tüketimş harika.
"
alfa-romeo-yorumlari,"
araç yakıt tüketimi çok iyi yol tutuşu süper ayrıca fren sistemi harika. aracımın konforunun üstüne konfor tanımam.
"
alfa-romeo-yorumlari,"
fiyatından dolayı kimse pek tercih etmiyor fakat araç mükemmel ötesi. alan hiç pişman olmuyor ve cidden yakıt tüketimi ve konforundan dolayı aracıma hayranım. tek kelime ile harikaaa bir araç.
"
alfa-romeo-yorumlari,"
geçen yıl aldım başta aldığımda zorlanmıştım ama daha sonra kolay alıştım kullanımı güzel bir araç zorlamıyor
"
alfa-romeo-yorumlari,"
Türkiyede orta sınıfahitap etmiyor hep zengin kişilere hitap ediyor türkiyede yaşamaktan nefret etmeye başladım
"
alfa-romeo-yorumlari,"
hatchback araç gibi geniş ve hacimli mükemmel bir araç. test sürüşü yapmanızı isterim araca karşı tüm ön yargılarınız tüm düşüncelerinizin değişeceğine ve kaygılarınızdan kurtulacağınıza emin olabilirsiniz :)
"
alfa-romeo-yorumlari,"
test sürüşü yaptım. sedan araç diye bir istek yoktu bende fakat test sürüşünden sonra her şey değişti sedan araç olarak mükemmel konforu dehşet arkadaşlar hemen almayı düşünüyorum :)
"
alfa-romeo-yorumlari,"
alfa romeo der susarım zaten kendini belli ediyor araç. konforu motor gücü ve dizayn ına diyecek tek kelime bulamıyorum mükemmel ötesi
"
alfa-romeo-yorumlari,"
alfanın bütün modelleri birbirine benziyor ama rahatlıgı kısmıda aynı yakıt tüketimide bi okadar iyi
"
alfa-romeo-yorumlari,"
araba küçük ama içi çok ferah bayılıyorum çok kullanışlı bir araç tavsiye ederim gönül rahatlıyla
"
alfa-romeo-yorumlari,"
arabanın sedan oluşu çok güzel aynı zamanda spor bi tipi var çok hoşuma gitti
"
alfa-romeo-yorumlari,"
İtalyanlara teşekkür ediyorum on numara bir araba
"
alfa-romeo-yorumlari,"
500+ bin verilmez.
"
alfa-romeo-yorumlari,"
keşke zengin olsamda alfa romeo alsam :(((
"
alfa-romeo-yorumlari,"
sedan araç olarak cok cazibeli ve konforlu bir görünüşü var. beğendim..
"
alfa-romeo-yorumlari,"
araba çok şık kullanılışlı bir araçç :)
"
alfa-romeo-yorumlari,"
bu aracın dizeli yokmu :(
"
alfa-romeo-yorumlari,"
arabayı alalı 7 ay oldu ve iyiki almışım
"
alfa-romeo-yorumlari,"
yakıt tüketimi nasııl gidiyor bilen varmı
"
alfa-romeo-yorumlari,"
sedanların içinde en kullanışıklı ve şık araç
"
alfa-romeo-yorumlari,"
Aracı birkaç aydır kullanıyorum, performansı gerçekten harika, hani anlatılmaz yaşanır denilen cinsten. Görünüşü de çok hoşuma gidiyor.
"
alfa-romeo-yorumlari,"
Bir senedir kullanıyorum. Araç tam bir performans aracı, yol tutuş harika, görüntüsü de öyle.
"
alfa-romeo-yorumlari,"
alfa romeo gördüğüm en hoş arabalardan birtanesi ayrıca hafif bi araba :)
"
alfa-romeo-yorumlari,"
çok kaliteli ve karizmatik bir araç olmasına rağmen maalesef hak ettiği değeri görmedi ülke mizde
"
alfa-romeo-yorumlari,"
çok kullanışlı bir araba kesinlikle içim rahat bir şekilde kullanıyorum
"
alfa-romeo-yorumlari,"
Alfa romeo fiyat listesi sınıfına göre biraz daha uygun
"
alfa-romeo-yorumlari,"
Sportif canavar. Bu araçları yollara başıboş salmamak lazım.
"
alfa-romeo-yorumlari,"
araba kendi kendini sürüyor zaten
"
alfa-romeo-yorumlari,"
bu arabanın en güzel özelliği dikkat dagıtmayacak şekilde gösterge paneli yapması
"
alfa-romeo-yorumlari,"
italyanlar yapmış helall :))
"
alfa-romeo-yorumlari,"
fiyatına uygun araba
"
alfa-romeo-yorumlari,"
spor araba olmasına ragmen için geniş ve ferah
"
alfa-romeo-yorumlari,"
Giulietta kendini dahada geliştirdi
"
alfa-romeo-yorumlari,"
tam bir italyan. tasarımı kendini gösteriyoır
"
alfa-romeo-yorumlari,"
hızlı güçlü bir hacthback araç en kısa sürede test sürüşü yapmak istiyorum
"
alfa-romeo-yorumlari,"
hacthback araç kullananların alması gerektiği ilk tercih olamalı bence
"
alfa-romeo-yorumlari,"
hoş tasarıma sahip güzel bir sedan araç kullanışlı bir araç test sürüşüne gittim memnun kaldım tavsiye ederim
"
alfa-romeo-yorumlari,"
hatchback tarzı çok hpş bir araç kullanışlı güzel bir araç geniş hacmi ve konfor olarakta çok güzel bir araç
"
alfa-romeo-yorumlari,"
sedan araçlar arasında hoş tasarıma sahip araçlardan biri benimde hoşuma giden bir araç alabilirim
"
alfa-romeo-yorumlari,"
tasarım olarak çok hoş bir araç kullanış olarakta çok güzel bir araç almayı düşündüğüm araçlardan biri
"
alfa-romeo-yorumlari,"
geniş hacim güzel tasarım geniş aile olduğumuz için alabileceğim bir araç çok beğendim alıyorum
"
alfa-romeo-yorumlari,"
sedan olarak çok güzel bir tasarıma sahip araba beğendim almayı düşünüyorum önce test sürüşü yapıcam ama
"
alfa-romeo-yorumlari,"
tasarım olarak dikkat ceken bir araç hoş tasarım güzel performans ve konfor alabilirim
"
alfa-romeo-yorumlari,"
güzel bir araç denemek istiyorum en kısa sürede test sürüşü yapmayı düşünüyorum
"
alfa-romeo-yorumlari,"
sedan araç olarak hoş bir dış görünüşe sahip tam bir yer uçağına benziyor tipi bence güzel bir araç almayı düşünebilirim
"
alfa-romeo-yorumlari,"
tasarım olarak çok güzel kullanmadım ama kullanmayı çok istiyorum test sürüşü yapmak isterim arabayı beğendim
"
alfa-romeo-yorumlari,"
Audi S3 daha iyi bu arabadan.
"
alfa-romeo-yorumlari,"
iç tasarımı çok güzel dış tasarımı da ideal
"
alfa-romeo-yorumlari,"
yakıt tüketimi bu araç için ideal
"
alfa-romeo-yorumlari,"
bagaj hacmi biraz daha büyük olabilirdi
"
alfa-romeo-yorumlari,"
Fiyatı ve tasarımı ile öne çıkan bir araç. Eğer gerçekten binici iseniz bu araç tam size göre. Ama yok ben aracı biraz kullanıp satacağım derseniz ikinci eli oldukça ağırdır dfiye düşünüyorum. Ama bu araçla dikkatler hep üzerinizde olabilir.
"
alfa-romeo-yorumlari,"
italyan tasarımı olduğu belli bir araba. ÖTV oranları biraz düşük olsa neden olmasın aslında
"
alfa-romeo-yorumlari,"
performansı ve yol tutuşu süper buna rağmen yakıt tüketimi ile de oldukça iyi
"
alfa-romeo-yorumlari,"
Konfor yol tutuş performans iç hacim güvenlik malzeme kalitesi mükemmel bir alfa romeo
"
alfa-romeo-yorumlari,"
her yerde farkını ortaya koyacak mükemmel bir araba.
"
alfa-romeo-yorumlari,"
Ne düşününüyorum bir çuval para verecem yola çıkacam e sonrası servet bu ya servet
"
alfa-romeo-yorumlari,"
Perfomansı süper performans olarak bmw 320 den bile iyi
"
alfa-romeo-yorumlari,"
Kesinlikle rakibi olmayan bir araba
"
alfa-romeo-yorumlari,"
Gerçekten bu yakıt değerlerini yakıyorsa mükemmel bir araba
"
alfa-romeo-yorumlari,"
Test sürüşüne gidin aşık olursunuz
"
alfa-romeo-yorumlari,"
Bu marka türkiyede tutulsaydı vazgeçilmez olurdu.
"
alfa-romeo-yorumlari,"
Türkiyede satışı yok fazla zaten türkiye ye satmayı düşünmemişler sanki.
"
alfa-romeo-yorumlari,"
O kadar para verip bu arabayı almak yerine bu fiyata audi yada bmw alın en azından adı yeter onların.
"
alfa-romeo-yorumlari,"
Telefonda iphone neyse arabadada giuletta odur.
"
alfa-romeo-yorumlari,"
adamlar biz bunuda yapabilioruz demek için yapmışlar arabayı
"
alfa-romeo-yorumlari,"
Bu fiyata bu arabayı almak baya cesaret ister
"
alfa-romeo-yorumlari,"
Tartışmasız tasarımı bir numara
"
alfa-romeo-yorumlari,"
Tasarım ve performans harika ama fiyatı hayal kırıklığı.
 "
alfa-romeo-yorumlari,"
Fiyata çok diyenleri anlamıyorum arkadaşlar bu araba normal bir araba değilki.
"
alfa-romeo-yorumlari,"
Arabada birçok arabada olmayan özellikler var ve 170 hp 5.20 lere güle güle çeker.
"
alfa-romeo-yorumlari,"
tasarım çok güzel ancak bu malzeme kalitesine göre bu fiyat çok bence.
"
alfa-romeo-yorumlari,"
Sade fena değil araba
"
alfa-romeo-yorumlari,"
Güçlü bir motora sahip güzel güçlü bir araba
"
alfa-romeo-yorumlari,"
Güzel araba genelde herkesin hoşuna giden bir arabadır
"
alfa-romeo-yorumlari,"
Çok sade ama şık güzel bir tasarımı var hoş duruyor
"
alfa-romeo-yorumlari,"
Pahalı ama güçlüde bir motorlu bir araba ama bu arabayı her yolda kullanamazsın o yüzden bunu alacağıma bmw yada audi o tarz araba alırım
"
alfa-romeo-yorumlari,"
Sade ve güçlü bir araba biraz daha güzel olması lazımdı bence
"
alfa-romeo-yorumlari,"
Sade ve güçlü performanslı bir araba biraz daha tasarımı değişik olsa bence çok iyi olurdu
"
alfa-romeo-yorumlari,"
Performansı güçlü bir araba ama bence çok pahalı biraz daha fiyatından düşürmeleri lazım
"
alfa-romeo-yorumlari,"
Sade bir araba iç tasarımı harika bana göre
"
alfa-romeo-yorumlari,"
Güçlü bir araba yapmışlar ama tasarımı jagurarın arabasına benzemiş
"
alfa-romeo-yorumlari,"
Yol tutuşu güzel ve güçlü bir araba hız tutkunlarına güzel bir araç bence
"
alfa-romeo-yorumlari,"
Yüksek güçlü performanslı bir araba ve yakıt tüketimi de gayet iyi tasarımı da hoş
"
alfa-romeo-yorumlari,"
Performans bakımından 4c ye yaklaşık bir performansı var ve bu baya iyi öbür arabayla kasaları farklı çünkü
"
alfa-romeo-yorumlari,"
Hız tutkunları için güzel bir araba motoru güçlü araba 2 kişilik ama böle bir arabaya bineceksen onuda o şeklide seveceksin
"
alfa-romeo-yorumlari,"
Arabanın bana göre her şeyi iyi gücü bakımından olsun güvenlik acısından olsun çarpışma testinden iyi sonuçlar almış bir şekilli bir araba
"
alfa-romeo-yorumlari,"
Çok sade olmuş ama fena değil
"
alfa-romeo-yorumlari,"
Güçlü bir araba ve bunu tam olarak kullana bilmek için otobanlarda kullana bilinir anca
"
alfa-romeo-yorumlari,"
Hem torku güçlü hem motoru güçlü hemde karizma araba
"
alfa-romeo-yorumlari,"
Yüksek performanslı bir araç ama kazadan sonra o araçtan sağ çıka bilir misin o var çarpışma testi yok
"
alfa-romeo-yorumlari,"
Sade ve yakıt tüketimine bakacak olursak aşırı masraflı
"
alfa-romeo-yorumlari,"
Arka tasarımı gerçekten çok hoş gözüküyor ama ön tasarımı o kadar güzel diyemem ama motor gücüne bakacak olursak çok iyi ve yakıt tüketimi de ona göre harika
"
alfa-romeo-yorumlari,"
Çok sade bir tasarımı var alfaya yakışmıyacak bir araba olmuş
"
alfa-romeo-yorumlari,"
Çok pahalı be
"
alfa-romeo-yorumlari,"
Aşkıyla yanıp tutuştuğum araba
"
alfa-romeo-yorumlari,"
Arabanın tasarımı gerçekten çok iyi dış görünüşü kendisine baktırıyor
"
alfa-romeo-yorumlari,"
Bence harika araba güvenlik,performans,arabanın tipi bakımından çok iyi araba bence
"
alfa-romeo-yorumlari,"
Arka tekeri dahamı büyük bu arabanın
"
alfa-romeo-yorumlari,"
Bu araç da leona benziyor ama bu pahalı olduğu için leonu alcaz
"
alfa-romeo-yorumlari,"
Bence bu araba bu kadar etmez bence ama
"
alfa-romeo-yorumlari,"
Uzun yolda baya etkili bir araç ve güzelde bir araba
"
alfa-romeo-yorumlari,"
Bence çok iyi fiyatlarda satıyorlar bana göre
"
alfa-romeo-yorumlari,"
Çok sade ve şık bir tasarımı var o yüzden düşünüle bilinir
"
alfa-romeo-yorumlari,"
Anladığım kadarıyla driftelerde iyi ve hızlı bir araba ama pahalı olduğu için bir şey diyemiyorum
"
alfa-romeo-yorumlari,"
Sol şeritlerin efendisi
"
alfa-romeo-yorumlari,"
Araba dışarıdan çok sade durmuyor mu
"
alfa-romeo-yorumlari,"
Ben bu kadar para verecek olsam bmw i8 alırdım ben olsam bu kadar para vermişken bmw ye veririm
"
alfa-romeo-yorumlari,"
Klasik Alfa Romeo motifinin evrim geçirmiş halidir
"
alfa-romeo-yorumlari,"
Piyasaya yeni çıkmış bir araba olduğu için hemen tutulaçağını zannetmiyorum
"
alfa-romeo-yorumlari,"
Gerçekten güzel bir arabadır. Yalan yok.
"
alfa-romeo-yorumlari,"
Tırt bir arabadir. İtalya'da gaza gelip kiralamistik 5 gunlugune. italya'da alfa kullanilir tribine girdik. kuzey italya'yi gezdik. bildigin citroen kalitesinde bir sey cikti alet. peh bumuymus alfa romeo biz gözümüzde çok büyütmüşüz
"
alfa-romeo-yorumlari,"
Küstahça bir reklama imza atmışlar. Küstühça ve güzel.
"
alfa-romeo-yorumlari,"
Temiz ikinci elini bekleyeceğim yavru aslan.
"
alfa-romeo-yorumlari,"
Hayatında hiçbir zaman araba hevesi bulunmamış, hayatı iki teker üzerinde yaşamaya alışık olan bünyemde garip hissiyatlar yarata bilmiş bir otomobil. Arkadaş nasıl bİ tasarımdır bu ulan, bir araba bu kadar mı güzel olabilir. Yemin ediyorum sanat eseri. Aşık oldum arabaya.
"
alfa-romeo-yorumlari,"
Gerçekte görmeden birşey diyemem bakıp incelemem lazım sürmem laızm
"
alfa-romeo-yorumlari,"
Şehir içinde gördüm. Bildiğin ferrari falan ayarı spor araba görüntüsü var. Öyle bir hava veriyor.
"
alfa-romeo-yorumlari,"
Bilerek, isteyerek, seçilerek sahip olunup severek kullanılan, park ettikten sonra kendisine bir kez bakılmadan uzaklaşılamayan arabadır. En nihayetinde kusursuz değildir, kusurlarıyla kendini sevdirendir.
"
alfa-romeo-yorumlari,"
Euronchap dan 5 yıldız almış bir araba bilmiyorum içim pek sinmedi bu arabaya
"
alfa-romeo-yorumlari,"
Hayalinde hep ferrari ya da lamborghini olan, ama yüzbinlerce euro ya da milyonlarca lirayı otomobile bağlayabilecek durumda olmayanlar için üretilmiş makina.
"
alfa-romeo-yorumlari,"
Yaklaşık 5-6 aydır kullandığım sevgili otomobilim. bu aracı kullanan arkadaşlara çok önemli bir tavsiye vereceğim. eğer dar yarıçaplı bir viraj dönülüyorsa ve bu virajda herhangi bir engebe varsa aracı kesinlikle dynamic moduna geçirmeyin.
"
alfa-romeo-yorumlari,"
Çok pahalı lan araba bu ne o kadar görünüşü de güzel değil bence
"
alfa-romeo-yorumlari,"
Araba görünüşte çok küçük gözüküyor ola bilir ama hiçte öle değil geniş ve rahat
"
alfa-romeo-yorumlari,"
Değişik güçlü ama içi bi işe yaramaz bence çok dar
"
alfa-romeo-yorumlari,"
Bu arabaya mavi çok yakışmış hoş ve güzel bir tasarımı var ama yakıt tüketimi çok fazla bence
"
alfa-romeo-yorumlari,"
Turbo dolayısıyla sesi ve karakteri zirvelerde değil.
"
alfa-romeo-yorumlari,"
Dış tasarım olarak gerçekten çok güzel bir araç.Sınıfının en ilerisi...
"
alfa-romeo-yorumlari,"
Bu performansa göre yakıt fena sayılmaz fakat fiyat çok bence.
"
alfa-romeo-yorumlari,"
Malzeme kalitesi son teknolojiyle donatılmış bir yıldız gibi parlıyor .
"
alfa-romeo-yorumlari,"
Üstü açık araba gibi yapmışlar ama yapmasalarmış daha iyiymiş
"
alfa-romeo-yorumlari,"
En karizmatik en yakışıklı otomobil modeli. Söylerken bile içi eriyor insanın.
"
alfa-romeo-yorumlari,"
Bu araç kendinden daha üstün araçları bile sollayacak hıza ve güze sahip.
"
alfa-romeo-yorumlari,"
Spor bir araç olduğu için içi dar ve karanlık ama hızına ve kalitesine diyecek söz bulamıyorum.
"
alfa-romeo-yorumlari,"
2016 nın başında araba 75.000 civarindaydi ne ara bu kadar oldu fiyatı
"
alfa-romeo-yorumlari,"
Bu araç dışarıdan çok iyi görülebilir ama motor konusunda aynı şeyi söyleyemeyeceğim.
"
alfa-romeo-yorumlari,"
Sportif ve hız sevenler için mükemmel bir araç . İç donanımı , malzeme kalitesine diyecek söz bulamıyorum. İtalyan tasarımıyla göz kamaştırıyor.
"
alfa-romeo-yorumlari,"
Aracı test ettiğinizde ne kadar hafif,hızlı,güçlü ve gelişmiş teknolojiye sahip olduğunu daha iyi anlayacağınızı söyleyebilirim.
"
alfa-romeo-yorumlari,"
Test sürüşüne giderseniz aracın tarifsiz olduğunu aracı yaşayarak anlamış olursunuz.
"
alfa-romeo-yorumlari,"
Tasarımı gayet güzel bir araç .
"
alfa-romeo-yorumlari,"
Çok farklı. Enteresan mühendislik ürünü. Ama gene saçma sapan vergimize takılmış.
"
alfa-romeo-yorumlari,"
Harikulade ötesi bir motor, konfor ve dizayn harikasıdır. Ferrari ile aynı genetiğe sahip olduğunu düşünürsek insanı daha da cezbeder. Sıfır kilometrede biraz pahalı olsa da demokraside çözüm bitmiyor. Alfa romeo Türkiye de ikinci elde çok tutulmaz. İkinci elde çok ucuza alabilirsiniz.
"
alfa-romeo-yorumlari,"
Bu araç diğer araçlara göre çok fazla özelliğe sahip, Türkiye'de alıcısı çok az olsa da , yakıt tüketimi çok iyi performansı diğer araçlara oranla mükemmel.
"
alfa-romeo-yorumlari,"
Aracın fiyatını pahalı bulabilirsiniz ama kullanılan malzemeler çok pahalı.Çünkü arabanın büyük bir bölümü karbon ve fiberden yapılıyor.
"
alfa-romeo-yorumlari,"
2018-2019 yılında bu arabanın kasası zaten degişecek bu fiyata bu kasa sıfır alınmaz en güzeli ikinci eline bakmak.
"
alfa-romeo-yorumlari,"
895 kilo ağırlığındadır. Bu araç yakıtı içiyor çok fazla olan bir yakıt tüketimi var bu aracın
"
alfa-romeo-yorumlari,"
Ülkemizde beğenilen yarısı bu sene kalan yarısı bir sonraki seneye tadındaki kampanyası ile gönüllerimize giren italyan menşeli otomobil modelidir. Yakıt tüketimi de fazla değil bence
"
alfa-romeo-yorumlari,"
Araba güzel iyi hoş ama yakıtı biraz fazla.Arabanın tasarımı sade güzel içi geniş ferah bagaj küçük ama araba güzel çokta pahalı değil fiyatı bu arabaya göre uygun.
"
alfa-romeo-yorumlari,"
Türkiye de bu tip araba kullanan az. Arabanın iç tasarımı hiç iyi değil ve eski tip arabalar gibi tasarlanmış çok dar bir ortam insanın içi daralır bu arabada.
"
alfa-romeo-yorumlari,"
şehir içi yakıt tüketimi motor hacmine göre biraz fazla gibi..
"
alfa-romeo-yorumlari,"
Yaya güvenliği için euroNcup test sonuçlarında daha fazla puana sahip olabilecek şekilde tasarlanabilirdi..
"
alfa-romeo-yorumlari,"
Araba çok sade sportif yapmaya calışmışlar ama olmamış çok sade kalmış ama araba fiyatı ve yakıtı iyi arabanın arka koltukla ön koltuk arasında mesafe çok dar rahat oturula bilineçeğini sanmıyorum.
"
alfa-romeo-yorumlari,"
Bu araç niye bu kadar çok sallanıyor?Hayallerim yıkıldı.
"
